No.;Channel Type;Channel Alias;Rx Frequency;Tx Frequency;Tx Power;TOT;VOX;VOX Level;Scan Add/Step;Channel Work Alone;Default to Talkaround;Band Width;Dec QT/DQT;Enc QT/DQT;Tx Authority;Relay;Work Mode;Slot;ID Setting;Color Code;Encryption;Encryption Type;Encryption Key;Promiscuous;Tx Authority;Kill Code;WakeUp Code;Contacts;Rx Group Lists;Group Lists 1;Group Lists 2;Group Lists 3;Group Lists 4;Group Lists 5;Group Lists 6;Group Lists 7;Group Lists 8;Group Lists 9;Group Lists 10;Group Lists 11;Group Lists 12;Group Lists 13;Group Lists 14;Group Lists 15;Group Lists 16;Group Lists 17;Group Lists 18;Group Lists 19;Group Lists 20;Group Lists 21;Group Lists 22;Group Lists 23;Group Lists 24;Group Lists 25;Group Lists 26;Group Lists 27;Group Lists 28;Group Lists 29;Group Lists 30;Group Lists 31;Group Lists 32;Group Lists 33
VFO-A;Digital CH;;145.325;145.325;High;Endless;No;1;12.5K;No;No;12.5K;None;None;Allow TX;No;Simplex;Slot1;KC1HGO;0;No;Normal Mode;1;No;Always;None;None;Priority Contacts: CALL1;Custom;Priority Contacts: CALL1;Priority Contacts: CALL3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VFO-B;Analog CH;;410.325;410.325;High;Endless;No;1;2.5K;No;No;12.5K;None;None;Allow TX;No;Simplex;Slot1;KC1HGO;0;No;Normal Mode;1;No;Always;None;None;Priority Contacts: CALL1;Custom;Priority Contacts: CALL1;Priority Contacts: CALL3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Analog CH;N1QC;146.685;146.085;High;Endless;No;1;Yes;No;No;12.5K;100;100;Allow TX;No;Simplex;Slot1;KC1HGO;1;No;Normal Mode;1;No;Always;None;None;Priority Contacts: CALL1;Custom;Priority Contacts: CALL1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Analog CH;K1CA;146.85;146.25;High;Endless;No;1;Yes;No;No;12.5K;85.4;85.4;Allow TX;No;Simplex;Slot1;KC1HGO;1;No;Normal Mode;1;No;Always;None;None;Priority Contacts: CALL1;Custom;Priority Contacts: CALL1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Digital CH;CT BRD U CT SW;442.2;447.2;High;Endless;No;1;Yes;No;No;12.5K;None;None;Allow TX;No;Simplex;2;KC1HGO;1;No;Normal Mode;1;No;Always;None;None;Priority Contacts: CALL1;None;Priority Contacts: CALL1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Digital CH;CT BRD U Local;442.2;447.2;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;2;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Digital CH;CT BRD U N Eas;442.2;447.2;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Digital CH;CT BRD U NA;442.2;447.2;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Digital CH;CT BRD U NE Wi;442.2;447.2;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;2;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Digital CH;CT BRD U Parro;442.2;447.2;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Digital CH;CT BRD U TAC31;442.2;447.2;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Digital CH;CT BRD U TAC31;442.2;447.2;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Digital CH;CT BRD U World;442.2;447.2;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Digital CH;CT BRD U WW En;442.2;447.2;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Digital CH;CT COL U CT SW;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;2;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Digital CH;CT COL U Local;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;2;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Digital CH;CT COL U N Eas;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Digital CH;CT COL U NA;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Digital CH;CT COL U NE Wi;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;2;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Digital CH;CT COL U Parro;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Digital CH;CT COL U TAC31;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Digital CH;CT COL U TAC31;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Digital CH;CT COL U World;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Digital CH;CT COL U WW En;440.8;445.8;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Digital CH;CT COV U CT SW;449.875;444.875;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;2;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Digital CH;CT COV U Local;449.875;444.875;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;2;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Digital CH;CT COV U N Eas;449.875;444.875;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Digital CH;CT COV U NA;449.875;444.875;High;Endless;No;1;No;Yes;Yes;12.5K;None;None;Allow TX;Yes;Simplex;1;KC1HGO;1;No;Normal Mode;1;Yes;Always;None;None;Priority Contacts: ;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
