No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts,
VFO-A,Digital CH,,145.32500,145.32500,High,180S,No,1,12.5K,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,0,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC 310,Custom,,Priority Contacts: TAC 310,Priority Contacts: FLORIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
VFO-B,Digital CH,,410.32500,410.32500,High,180S,No,1,2.5K,No,No,12.5K,None,None,Allow TX,No,Simplex,Slot1,,0,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TAC 310,Custom,,Priority Contacts: TAC 310,Priority Contacts: FLORIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,900,TX Contact,
1,Digital CH,WW 91,432.70000,432.70000,Low,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: WW 91,Custom,,Priority Contacts: WW 91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
2,Digital CH,TG 310,432.70000,432.70000,Low,180S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,Yes,Always,None,None,Priority Contacts: TAC 310,Custom,,Priority Contacts: TAC 310,Priority Contacts: FLORIDA,Priority Contacts: WC Florida,Priority Contacts: TC Florida,Priority Contacts: SE Florida,Priority Contacts: WW 91,Priority Contacts: N/A 93,Priority Contacts: Disconnect,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
3,Digital CH,FLORIDA,432.70000,432.70000,Low,75S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: FLORIDA,Custom,,Priority Contacts: FLORIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
4,Digital CH,WC FLORIDA,432.70000,432.70000,Low,75S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,Yes,Always,None,None,Priority Contacts: WC Florida,Custom,,Priority Contacts: WC Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
5,Digital CH,TC FLORIDA,432.70000,432.70000,Low,75S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: TC Florida,Custom,,Priority Contacts: TC Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
6,Digital CH,SE FLORIDA,432.70000,432.70000,Low,75S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: SE Florida,Custom,,Priority Contacts: SE Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
7,Digital CH,N/A 93,432.70000,432.70000,Low,75S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: N/A 93,Custom,,Priority Contacts: N/A 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
8,Digital CH,DISCONNECT,432.70000,432.70000,Low,75S,No,1,No,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Disconnect,Custom,,Priority Contacts: TAC 310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
