No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts,
VFO-A,Analog CH,,146.58000,146.58000,High,75S,No,7,5K,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot2,,1,No,Normal Mode,1,Yes,Always,None,None,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact,
VFO-B,Digital CH,,444.30000,569.17000,Low,75S,No,7,5K,No,No,25K,None,None,Allow TX,Yes,Simplex,Slot2,KB5WCK - Jeff,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: WW 91,Hotspot,Priority Contacts: NA 3,Priority Contacts: NORDIC 17,Priority Contacts: Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact,
1,Analog CH,NRHARC_2m,145.37000,144.77000,High,75S,No,7,Yes,No,No,25K,None,110.9,Allow TX,No,Simplex,Slot2,,0,No,Normal Mode,1,Yes,Prohibit TX,None,None,None,Arlington,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: NA 3,Priority Contacts: Oceania,Priority Contacts: Regional,Priority Contacts: Local 9,Priority Contacts: TG6,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact,
2,Analog CH,WA5JRS8775,448.77500,443.77500,High,75S,No,1,Yes,No,No,25K,None,167.9,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local 9,Hotspot,Priority Contacts: NA 3,Priority Contacts: NORDIC 17,Priority Contacts: Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
3,Analog CH,NRHARC 440,441.75000,446.75000,High,75S,No,1,Yes,No,No,25K,None,100.0,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local 9,Hotspot,Priority Contacts: NA 3,Priority Contacts: NORDIC 17,Priority Contacts: Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
4,Analog CH,FTW5330,145.33000,144.73000,High,75S,No,1,Yes,No,No,25K,None,110.9,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local 9,Hotspot,Priority Contacts: NA 3,Priority Contacts: NORDIC 17,Priority Contacts: Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
5,Analog CH,Bedford2825,442.82500,447.82500,High,75S,No,7,Yes,Yes,No,25K,None,110.9,Allow TX,No,Simplex,Slot2,,0,No,Normal Mode,1,Yes,Prohibit TX,None,None,None,Hotspot,Priority Contacts: NA 3,Priority Contacts: NORDIC 17,Priority Contacts: Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact,
6,Analog CH,Hurst2850,442.85000,443.45000,High,75S,No,7,Yes,No,No,25K,None,88.5,Allow TX,No,Simplex,Slot2,,0,No,Normal Mode,1,Yes,Prohibit TX,None,None,None,Hotspot,Priority Contacts: NA 3,Priority Contacts: NORDIC 17,Priority Contacts: Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,OFF,TX Contact,
7,Analog CH,Colleyvill1900,441.90000,445.90000,High,75S,No,1,Yes,No,No,25K,None,110.9,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local 9,Hotspot,Priority Contacts: NA 3,Priority Contacts: NORDIC 17,Priority Contacts: Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
8,Analog CH,FTW2125,442.12500,447.12500,High,75S,No,1,Yes,No,No,25K,None,110.9,Allow TX,No,Simplex,Slot1,,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local 9,Hotspot,Priority Contacts: NA 3,Priority Contacts: NORDIC 17,Priority Contacts: Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,OFF,TX Contact,
