Repeater ID,Callsign,City,State,Country,Frequency,Color Code,Offset,Assigned,TimeSlot,Trustee,MapInfo,Map,IPSC
110601,WB6ECE,Bonny Doon,California,United States,44058750,2,5000,Peer,TS1 TS2,KA6SQG,,0,Brandmeister
110602,AA4CD,Carlsbad,California,United States,44730000,3,5000,Master,TS1 TS2,AA4CD,,0,BrandMeister
110603,WB6PQM,Walnut Creek,California,United States,44415000,1,5000,Peer,TS1 TS2,WB6PQM,,0,Brandmeister
110604,KF6GOI,THOUSAND OAKS,California,United States,44556000,1,5000,Master,TS1 TS2,KF6GOI,,0,West Brandmeister
110605,K6UHF,Wrightwood,California,United States,44974000,7,5000,Peer,TS1 TS2,K6UHF,,0,BrandMeister
110607,KA7QQV,alameda ,California,United States,44350000,1,5000,Peer,TS1 TS2,KA7QQV,,0,brandmeister
110608,KE6UPI,Murrieta,California,United States,44240000,1,5000,Master,TS1 TS2,KE6UPI,,0,BrandMeister
110609,WX6D,San Luis Obisopo,California,United States,44343750,1,5000,Peer,TS1 TS2,N6IB,,0,Brandmeister
110610,WB6PQM,Walnut Creek,California,United States,92750000,3,25000,Peer,TS1 TS2,WB6PQM,,0,Brandmeister
110611,KC6KGE,Taft,California,United States,44112500,1,5000,Peer,TS1 TS2,KC6KGE,,0,Brandmister
110612,WX6D,Hanford,California,United States,44253750,1,5000,Peer,TS1 TS2,N6IB,,0,Brandmiester 
110613,WB6PQM,Walnut Creek,California,United States,44265000,1,5000,Peer,TS1 TS2,WB6PQM,,0,Brandmeister
110614,AD1U,SAN JOSE,California,United States,44331250,1,5000,Master,TS1,AD1U,,0,12
110615,AD1U,SAN JOSE,California,United States,44330000,1,5000,Peer,TS1 TS2,AD1U,,0,Philippines
110616,KM6AYR,Murrieta,California,United States,44102500,1,0000,Peer,TS2,KM6AYR,,0,BrandMeister
110617,WD6AML,Alpine,California,United States,44790000,1,5000,Master,TS1 TS2,WA6PYJ,See westernstatesdmrcom,1,Western States DMR
110618,KE6UPI,Murrieta,California,United States,44740000,2,5000,Peer,TS1 TS2,KE6UPI,,0,BrandMeister
110619,W6HDC,El Cajon,California,United States,44606250,1,5000,Master,TS1 TS2,W6HDC,,1,Mountain West
110620,KF6YB,El Cajon,California,United States,44990000,1,5000,Master,TS1 TS2,KF6YB,,0,Brandmeister
110621,AD1U,SAN JOSE,California,United States,44182500,1,5000,Peer,TS1 TS2,AD1U,,0,Philippines 515
110622,W6ELL,Horseshoe Bend,California,United States,44626000,1,5000,Peer,TS1 TS2,W6ELL,,0,Brandmeister
110623,K6LNK,Davis,California,United States,92728750,3,25000,Peer,Select Linked T,N6JOA,,0,NorCal BrandMeister
110624,K6LNK,Davis,California,United States,14498750,3,25000,Peer,TS1 TS2,N6JOA,,0,NorCal BrandMeister
110625,K6CLX,Calexico,California,United States,44970000,1,5000,Master,TS1 TS2,KI6YAA,,1,BrandMeister
110626,N6JLY,Glendale,California,United States,44568000,1,5000,None,Mixed Mode,N6PET,,0,None
110627,K6JWN,Dixon,California,United States,44218750,2,5000,Peer,TS1 TS2,K6JWN,,0,Brandmeister
110628,K6PUW,Los Angeles,California,United States,44720000,1,5000,Peer,TS1 TS2,WB5EKU,,0,BrandMeister
110629,K6TZ,Santa Barbara,California,United States,44520000,1,5000,Peer,TS1 TS2,W1UUQ,,0,BM
110630,WB6PQM,WALNUT CREEK,California,United States,92750000,3,25000,Peer,TS1 TS2,WB6PQM,,0,Brandmeister
110631,WA6JQV,Vacaville,California,United States,92738750,1,25000,None,TS1,WA6JQV,,0,BM
110632,AB6BP,Mariposa,California,United States,44270000,1,5000,Master,Mixed Mode,AB6BP,,0,4852
110633,WB6YES,Palm Springs,California,United States,44541000,3,5000,Master,TS2,W6ONT,,0,BrandMeister
110634,WB6YES,Palm Springs,California,United States,44541000,3,5000,Master,TS2,W6ONT,,0,BrandMeister
110635,NR6J,Mount Shasta,California,United States,44227500,1,5000,None,TS1 TS2,NR6J,,0,Dynamic
110636,W6SS,San Diegto,California,United States,44816000,1,5000,Peer,TS1 TS2,W6SS,,0,San Diego
110637,WB6YES,PALM Springs,California,United States,44541000,3,5000,Peer,Mixed Mode,W6ONT,,0,BrandMeister
110638,WB6YES,PALM Springs,California,United States,44541000,3,5000,Peer,TS2,W6ONT,,0,BrandMeister
110639,K6JSI,Oceanside,California,United States,44880000,1,5000,Peer,TS1 TS2,K6UFX,,0,brandmeister
110640,AE6TV,San Bernardino,California,United States,44890000,1,5000,Peer,TS1 TS2,AE6TV,,0,Brandmeister
110641,W6TRW,Redondo Beach,California,United States,44946250,2,5000,Master,TS1 TS2,N6DSP,,1,Western States DMR
110642,W6EDX,Fresno,California,United States,44280000,1,5000,None,TS2,W6EDX,,0,5152
110643,KC6IAU,SAN FRANCISCO,California,United States,44157500,1,5000,Peer,TS1 TS2,KC6IAU,,0,Brandmeister
110644,N6VVY,San Diego,California,United States,44936000,1,5000,Master,TS1 TS2,N6VVY,,0,brandmeister
110646,K6UD,TORRANCE,California,United States,44826000,1,5000,Master,TS1,KK6N,,0,DMRMARC
110647,K6LLC,SAN JOSE,California,United States,44022500,1,5000,Peer,TS1 TS2,K6RMY,,0,PINOY 5153
110648,WG6R,Fairfield,California,United States,44340000,1,5000,Peer,TS1 TS2,WG6R,,0,Brandmeister
110649,WI6Y,Anaheim,California,United States,44946250,3,5000,Peer,TS1 TS2,WI6Y,,0,BM
110650,W2NOR,San Diego,California,United States,44520000,1,5000,Peer,TS1 TS2,AF6YU,,0,BM
110651,KG6NLW,Cloverdale,California,United States,44010000,1,5000,Peer,TS1 TS2,KG6NLW,,0,brandmeister
110652,KC2UFO,Merritt Island,Florida,United States,44477500,1,5000,Peer,TS1 TS2,AA4CD,,0,BrandMeister
110653,K6INC,LOS GATOS,California,United States,44395000,1,5000,Peer,TS1 TS2,AD1U,,0,Brandmeister
