Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,AA5WJ,442.32500,+,5,,88.5,88.5,23,NN,FM,5,"Ft Worth",
2,AB5XD,145.25000,-,0.6,,88.5,88.5,23,NN,FM,5,"Everman",
3,AB5XD,146.00000,-,0.6,,88.5,88.5,23,NN,FM,5,"Everman",
4,AB5XD,441.52500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Everman",
5,AE5FZ,444.90000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
6,K4TTT,442.25000,+,5,,88.5,88.5,23,NN,FM,5,"Carrollton",
7,K5AB,444.45000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Carrollton",
8,K5ACF,445.80000,,5,,88.5,88.5,23,NN,FM,5,"Avondale",
9,K5AMM,441.67500,+,5,,88.5,88.5,23,NN,FM,5,"Sansom Park",
10,K5CFD,444.22500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Coppell",
11,K5FR,442.75000,+,5,Tone,110.9,88.5,23,NN,FM,5,"TROPHY CLUB",
12,K5FTW,145.11000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
13,K5FTW,146.76000,-,0.6,,88.5,88.5,23,NN,FM,5,"Fort Worth",
14,K5FTW,146.94000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
15,K5FTW,441.62500,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
16,K5FTW,444.10000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
17,K5GWF,441.82500,+,5,,88.5,88.5,23,NN,FM,5,"Carrollton",
18,K5HIT,442.22500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
19,K5JEJ,146.98000,-,0.6,,88.5,88.5,23,NN,FM,5,"Boyd",
20,K5JG,441.62500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Carrollton",
21,K5JRR,441.92500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Hurst",
22,K5MMO,147.54000,,0,Tone,123.0,88.5,23,NN,FM,5,"Fort Worth",
23,K5MOT,147.32000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
24,K5MOT,444.30000,+,5,,88.5,88.5,23,NN,FM,5,"Melody Hills",
25,K5NRH,145.37000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"North Richland Hills, Water To",
26,K5QL,441.62500,+,5,,88.5,88.5,23,NN,FM,5,"Carrollton",
27,K5SXK,443.92500,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
28,K5TIT,444.60000,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
29,K5TKR,446.10000,-,5,Tone,136.5,88.5,25,NN,FM,5,"Fort Worth",
30,K5VMX,444.05000,+,5,,88.5,88.5,23,NN,FM,5,"WOODLANDS",
31,K5ZYZ,146.82000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Carrollton",
32,K5AMM,441.67500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
33,K9MK,444.32500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Haslet",
34,KA0BRN,443.22500,+,5,,88.5,88.5,23,NN,FM,5,"North Richland Hills",
35,KA1CWM,145.25000,-,0.6,Tone,107.2,88.5,23,NN,FM,5,"Coppell",
36,KA1CWM,441.60000,+,5,Tone,107.2,88.5,23,NN,FM,5,"Coppell",
37,KA1CWM,441.80000,+,5,,88.5,88.5,23,NN,FM,5,"Coppell",
38,KA1CWM,444.22500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Coppell",
39,KA5GFH,442.12500,+,5,Tone,156.7,88.5,23,NN,FM,5,"Fort Worth",
40,KA5HND,147.20000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Keller",
41,KA5KEH,441.35000,+,5,Tone,114.8,88.5,23,NN,FM,5,"Duncanville",
42,KA5R,441.37500,+,5,Tone,114.8,88.5,23,NN,FM,5,"Trophy Club",
43,KB5ZMY,441.37500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
44,KC5GVN,441.32500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Euless",
45,KC5TIL,145.54000,,0,,88.5,88.5,23,NN,FM,5,"Rendon",
46,KD5HOG,145.25000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
47,KD5OEW,441.80000,+,5,Tone,107.2,88.5,23,NN,FM,5,"Coppell-Texas",
48,KD5TKN,441.30000,,5,,88.5,88.5,23,NN,FM,5,"Lakeview",
49,KF5LOG,147.54000,,0,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
50,KJ5AE,442.75000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Trophy Club",
51,KJ5RM,445.80000,,5,,88.5,88.5,23,NN,FM,5,"Avondale",
52,KM5HT,442.85000,+,5,,88.5,88.5,23,NN,FM,5,"Hurst",
53,KM5R,442.22500,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
54,KM5R,442.32500,+,5,Tone,127.3,88.5,23,NN,FM,5,"Cedar Hill",
55,KM5ZG,146.45000,,0.6,,88.5,88.5,23,NN,FM,5,"Lewisville",
56,N2DFW,145.45000,-,0.6,,88.5,88.5,23,NN,FM,5,"Irving",
