Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,AA5WJ,442.32500,+,5,,88.5,88.5,23,NN,FM,5,"Ft Worth",
2,AB5XD,145.25000,-,0.6,,88.5,88.5,23,NN,FM,5,"Everman",
3,AB5XD,146.00000,-,0.6,,88.5,88.5,23,NN,FM,5,"Everman",
4,AB5XD,441.52500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Everman",
5,AE5FZ,444.90000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
6,K4TTT,442.25000,+,5,,88.5,88.5,23,NN,FM,5,"Carrollton",
7,K5AB,444.45000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Carrollton",
8,K5ACF,445.80000,,5,,88.5,88.5,23,NN,FM,5,"Avondale",
9,K5AHT,146.64000,-,0.6,Tone,118.8,88.5,23,NN,FM,5,"Dallas",
10,K5AMM,441.67500,+,5,,88.5,88.5,23,NN,FM,5,"Sansom Park",
11,K5CFD,444.22500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Coppell",
12,K5DM,145.43000,-,0.6,,88.5,88.5,23,NN,FM,5,"Dallas",
13,K5FR,442.75000,+,5,Tone,110.9,88.5,23,NN,FM,5,"TROPHY CLUB",
14,K5FTW,145.11000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
15,K5FTW,146.76000,-,0.6,,88.5,88.5,23,NN,FM,5,"Fort Worth",
16,K5FTW,146.94000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
17,K5FTW,441.62500,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
18,K5FTW,444.10000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
19,K5GWF,441.82500,+,5,,88.5,88.5,23,NN,FM,5,"Carrollton",
20,K5HIT,442.22500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
21,K5JCR,440.70000,+,5,,88.5,88.5,23,NN,FM,5,"Burleson",
22,K5JEJ,146.98000,-,0.6,,88.5,88.5,23,NN,FM,5,"Boyd",
23,K5JG,441.62500,+,5,Tone,100.0,88.5,23,NN,FM,5,"Carrollton",
24,K5JOI,444.92500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
25,K5JRR,441.92500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Hurst",
26,K5LRK,147.38000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"The Colony",
27,K5MET,444.07500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
28,K5MMO,147.54000,,0,Tone,123.0,88.5,23,NN,FM,5,"Fort Worth",
29,K5MOT,147.32000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
30,K5MOT,444.30000,+,5,,88.5,88.5,23,NN,FM,5,"Melody Hills",
31,K5NRH,145.37000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"North Richland Hills, Water To",
32,K5QL,441.62500,+,5,,88.5,88.5,23,NN,FM,5,"Carrollton",
33,K5RJS,146.82000,-,0.6,,88.5,88.5,23,NN,FM,5,"Dallas",
34,K5RWK,147.12000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Richardson",
35,K5SXK,443.92500,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
36,K5TIT,443.47500,+,5,Tone,156.7,88.5,23,NN,FM,5,"Dallas",
37,K5TIT,444.60000,+,5,,88.5,88.5,23,NN,FM,5,"Fort Worth",
38,K5TKR,446.10000,-,5,Tone,136.5,88.5,25,NN,FM,5,"Fort Worth",
39,K5UTD,145.43000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Richardson, UTD Campus",
40,K5VMX,444.05000,+,5,,88.5,88.5,23,NN,FM,5,"WOODLANDS",
41,K5XG,443.82500,+,5,Tone,103.5,88.5,23,NN,FM,5,"Dallas",
42,K5ZYZ,146.82000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Carrollton",
43,K5AMM,441.67500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Fort Worth",
44,K9MK,444.32500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Haslet",
45,KA0BRN,443.22500,+,5,,88.5,88.5,23,NN,FM,5,"North Richland Hills",
46,KA1CWM,145.25000,-,0.6,Tone,107.2,88.5,23,NN,FM,5,"Coppell",
47,KA1CWM,441.60000,+,5,Tone,107.2,88.5,23,NN,FM,5,"Coppell",
48,KA1CWM,441.80000,+,5,,88.5,88.5,23,NN,FM,5,"Coppell",
49,KA1CWM,444.22500,+,5,Tone,110.9,88.5,23,NN,FM,5,"Coppell",
50,KA5CTN,145.19000,-,0.6,Tone,110.9,88.5,23,NN,FM,5,"Dallas",
51,KA5GFH,442.12500,+,5,Tone,156.7,88.5,23,NN,FM,5,"Fort Worth",
52,KA5HND,147.20000,+,0.6,Tone,110.9,88.5,23,NN,FM,5,"Keller",
53,KA5HND,443.20000,+,5,Tone,110.9,88.5,23,NN,FM,5,"Aledo, Lake Weatherford",
54,KA5KEH,441.35000,+,5,Tone,114.8,88.5,23,NN,FM,5,"Duncanville",
55,KA5R,441.37500,+,5,Tone,114.8,88.5,23,NN,FM,5,"Trophy Club",
