No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
1,Group Call,LOCAL 9,,,,9,
2,Group Call,NL 204 NEDERLAND,,,,204,
3,Group Call,NL 2041-NOORD,,,,2041,
4,Group Call,NL 2042-MIDDEN,,,,2042,
5,Group Call,NL 2043-ZUID,,,,2043,
6,Group Call,NL 2044-OOST,,,,2044,
7,Group Call,NL 2045-TECHNO,,,,2045,
8,Group Call,KEYSTAD 20421,,,,20421,
9,Group Call,WW-91,,,,91,
10,Group Call,EU-92,,,,92,
11,Group Call,NLTALIG-922,,,,922,
12,Private Call,Echo,,,,9990,
13,Group Call, XRF088A,,,,2049881,
14,Group Call,XRF088B,,,,2049882,
15,Group Call,YSF444,,,,20494,
16,Group Call,YSELMND 20441,,,,20441,
17,Group Call,Belgie,,,,206,
18,Group Call,Wereld Marc,,,,1,
19,Group Call,Europa Mac,,,,2,
20,Group Call,Regionaal Marc,,,,8,
21,Group Call,Engels Marc,,,,13,
22,Group Call,Duist Marc,,,,20,
23,Group Call,WiresX Hobbyscoo,,,,20401,
24,Group Call,C4FM-Oost,,,,20442,
25,Group Call,BE 2061 N Vlaams,,,,2061,
26,Group Call,BE 2062 Z Waals,,,,2062,
27,Group Call,Ned talig Marc,,,,22,
28,Group Call,Jota,,,,907,
29,Group Call,Simplex,,,,99,
30,Group Call,Ontkopplen,,,,4000,
31,Private Call,Openspot IP opvr,,,,9001,
32,Private Call,Echo Openspot,,,,9999,
33,Private Call,Yaesu gebruiker,,,,9998,
34,Private Call,welk profiel?,,,,9000,
35,Private Call,openSp profiel 0,,,,90000,
36,Private Call,opanSP profiel 1,,,,90001,
37,Private Call,openSP profiel 2,,,,90002,
38,Private Call,openSP profiel 3,,,,90003,
39,Private Call,openSP profiel 4,,,,90004,
40,Group Call,PJ2R Lokaal,,,,362001,
41,Group Call,Tac 310,,,,310,
42,Group Call,Tac 311,,,,311,
43,Group Call,Tac 312,,,,312,
44,Group Call,Tac 313,,,,313,
45,Group Call,Tac 314,,,,314,
46,Group Call,Tac 315,,,,315,
47,Group Call,Tac 316,,,,316,
48,Group Call,Tac 317,,,,317,
49,Group Call,Tac 318,,,,318,
50,Group Call,Tac 319,,,,319,
51,Group Call,Curacao,,,,326001,
52,Private Call,Reboot-Pi,,,,8999997,
53,Group Call,Belgie Oost,,,,2063,
54,Group Call,Belgie OD4,,,,2064,
55,Group Call,Belgie OD5,,,,2065,
56,Group Call,Belgie OD6,,,,2066,
57,Group Call,Belgie OD7,,,,2067,
58,Group Call,Belgie OD8,,,,2068,
59,Group Call,Belgie OD9,,,,2069,
60,Group Call,APRS-0,,,,5057,
61,Group Call,APRS-1,,,,5059,
62,Group Call,204-Almere,,,,204,
63,Group Call,204-Amersfoort,,,,204,
64,Group Call,204-Amsterdam,,,,204,
65,Group Call,204-Arnhem,,,,204,
66,Group Call,204-Apeldoorn,,,,204,
67,Group Call,204-Breda,,,,204,
68,Group Call,204-Burgwerd,,,,204,
69,Group Call,204-Delft,,,,204,
70,Group Call,204-Dordrecht,,,,204,
71,Group Call,204-Drachten,,,,204,
72,Group Call,204-Gennep,,,,204,
73,Group Call,204-Groenlo,,,,204,
74,Group Call,204-Heerlen,,,,204,
75,Group Call,204-Hengelo,,,,204,
76,Group Call,204-Zwolle,,,,204,
77,Group Call,204-Maastricht,,,,204,
78,Group Call,204-Nieuwleusen,,,,204,
79,Group Call,204-Nijmegen,,,,204,
80,Group Call,204-Nijverdal,,,,204,
81,Group Call,204-Opdam,,,,204,
82,Group Call,204-Spakenburg,,,,204,
83,Group Call,204-Utrecht,,,,204,
84,Group Call,204-Vlaardingen,,,,204,
85,Group Call,204-Zierikzee,,,,204,
86,Group Call,204-DV-Mega,,,,204,
87,Group Call,204-Open-Spot,,,,204,
88,Group Call,204-Haarlem,,,,204,
89,Group Call,204-Eindhoven,,,,204,
90,Group Call,ZODigi,,,,20411,
91,Group Call,Gelderl Mi,,,,20443,
