No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
14,Group Call,NA TG1,,,,1,
15,Group Call,Local 2,,,,2,
8,Group Call,Open Spot,,,,3,
16,Group Call,Local 9,,,,9,
17,Group Call,WW 91,,,,91,
18,Group Call,NA 93,,,,93,
19,Group Call,Simplex,,,,99,
20,Group Call,TAC 310,,,,310,
21,Group Call,TAC 311,,,,311,
69,Group Call,TAC 312,,,,312,
106,Group Call,TAC 313,,,,313,
107,Group Call,TAC 314,,,,314,
108,Group Call,TAC 315,,,,315,
109,Group Call,TAC 316,,,,316,
110,Group Call,TAC 317,,,,317,
111,Group Call,TAC 318,,,,318,
112,Group Call,TAC 319,,,,319,
23,Group Call,US 3100,,,,3100,
24,Group Call,AL 3101,,,,3101,
25,Group Call,AK 3102,,,,3102,
26,Group Call,AZ 3104,,,,3104,
11,Group Call,AR 3105,,,,3105,
27,Group Call,CA 3106,,,,3106,
28,Group Call,CO 3108,,,,3108,
29,Group Call,CT 3109,,,,3109,
30,Group Call,DE 3110,,,,3110,
31,Group Call,DC 3111,,,,3111,
32,Group Call,FL 3112,,,,3112,
33,Group Call,GA 3113,,,,3113,
34,Group Call,HI 3115,,,,3115,
35,Group Call,ID 3116,,,,3116,
36,Group Call,IL 3117,,,,3117,
37,Group Call,IN 3118,,,,3118,
38,Group Call,IA 3119,,,,3119,
12,Group Call,KS 3120,,,,3120,
39,Group Call,KY 3121,,,,3121,
40,Group Call,LA 3122,,,,3122,
41,Group Call,ME 3123,,,,3123,
42,Group Call,MD 3124,,,,3124,
43,Group Call,MA 3125,,,,3125,
44,Group Call,MI 3126,,,,3126,
45,Group Call,MN 3127,,,,3127,
46,Group Call,MS 3128,,,,3128,
13,Group Call,MO 3129,,,,3129,
47,Group Call,MT 3130,,,,3130,
48,Group Call,NE 3131,,,,3131,
49,Group Call,NV 3132,,,,3132,
50,Group Call,NH 3133,,,,3133,
51,Group Call,NJ 3134,,,,3134,
52,Group Call,NM 3135,,,,3135,
53,Group Call,NY 3136,,,,3136,
54,Group Call,NC 3137,,,,3137,
55,Group Call,ND 3138,,,,3138,
66,Group Call,OH 3139,,,,3139,
1,Group Call,OK3140,,,,3140,
67,Group Call,OR 3141,,,,3141,
56,Group Call,PA 3142,,,,3142,
57,Group Call,RI 3144,,,,3144,
58,Group Call,SC 3145,,,,3145,
59,Group Call,SD 3146,,,,3146,
60,Group Call,TN 3147,,,,3147,
4,Group Call,TX 3148,,,,3148,
61,Group Call,UT 3149,,,,3149,
62,Group Call,VT 3150,,,,3150,
63,Group Call,VA 3151,,,,3151,
64,Group Call,WA 3153,,,,3153,
65,Group Call,WV 3154,,,,3154,
68,Group Call,WI 3155,,,,3155,
70,Group Call,WY 3156,,,,3156,
71,Group Call,Midwest,,,,3169,
72,Group Call,Northeast,,,,3172,
73,Group Call,MidAtlantic,,,,3173,
74,Group Call,Southeast,,,,3174,
75,Group Call,SouthPlains,,,,3175,
76,Group Call,Southwest,,,,3176,
77,Group Call,Mountain,,,,3177,
78,Group Call,Cactus,,,,3185,
6,Group Call,Disco 4000,,,,4000,
81,Group Call,RedCross,,,,4742,
79,Private Call,RefStatus,,,,5000,
5,Private Call,Parrot 9990,,,,9990,
87,Group Call,MtnWest,,,,31063,
88,Group Call,NCalAllStar,,,,31065,
89,Group Call,SoCal 31066,,,,31066,
90,Group Call,SoCal 31067,,,,31067,
91,Group Call,NorCal 31068,,,,31068,
93,Group Call,PAPA,,,,31077,
92,Group Call,Region 0,,,,31090,
94,Group Call,Region 1,,,,31091,
95,Group Call,Region 2,,,,31092,
96,Group Call,Region 3,,,,31093,
97,Group Call,Region 4,,,,31094,
7,Group Call,Region 5,,,,31095,
98,Group Call,Region 6,,,,31096,
99,Group Call,Region 7,,,,31097,
100,Group Call,Region 8,,,,31098,
101,Group Call,Region 9,,,,31099,
102,Group Call,Hawaii 31150,,,,31150,
80,Group Call,IAChat,,,,31190,
82,Group Call,IA DSM1,,,,31191,
83,Group Call,IA ALO2,,,,31192,
84,Group Call,IA NW3,,,,31193,
85,Group Call,IA SW4,,,,31194,
105,Group Call,IA SE5,,,,31195,
86,Group Call,IA CID6,,,,31196,
104,Group Call,OKTAC 31400,,,,31400,
2,Group Call,OKCent 401,4,,,31401,
3,Group Call,OKEast 402,,,,31402,
22,Group Call,OK 31403,,,,31403,
103,Group Call,Hawaii 31761,,,,31761,
9,Group Call,Local SCARS,,,,314016,
10,Group Call,Local EARS,,,,314020,
