No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
1,Group Call,Local,,,,9,
9,Group Call,World,,,,91,
10,Group Call,Europe,,,,92,
18,Group Call,TG-99,,,,99,
2,Group Call,NL,,,,204,
20,Group Call,Belgie,,,,206,
21,Group Call,UK,,,,235,
22,Group Call,Duitsland,,,,262,
24,Group Call,JOTA,,,,907,
25,Group Call,German,,,,910,
26,Group Call,English,,,,913,
27,Group Call,YOTA,,,,918,
11,Group Call,NLtalig,,,,922,
28,Group Call,Euro English,,,,923,
3,Group Call,NL-Noord,,,,2041,
4,Group Call,NL-Midden,,,,2042,
5,Group Call,NL-Zuid,,,,2043,
6,Group Call,NL-Oost,,,,2044,
7,Group Call,NL-Tech,,,,2045,
29,Group Call,WW Maritime,,,,9101,
12,Private Call,Parrot,,,,9990,
8,Group Call,NL-Keistad,,,,20421,
16,Group Call,NL-Ysselmond,,,,20441,
15,Group Call,FUSION YSF444,,,,20494,
23,Group Call,Baynet,,,,31075,
17,Group Call,NL-Marine,,,,91665,
30,Group Call,EmComm NL,,,,204911,
19,Group Call,PI2NOS,,,,2049125,
13,Group Call,DSTAR XRF088A,,,,2049881,
14,Group Call,DSTAR XRF088B,,,,2049882,
