No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
2,Group Call,WW,,,,1,
3,Group Call,Local 2,,,,2,
1,Group Call,NA,,,,3,
17,Group Call,ATL-Metro,,,,8,
4,Group Call,Local  9,,,,9,
5,Group Call,WWE,,,,13,
61,Group Call,BMWW,,,,91,
62,Group Call,BMNA,,,,93,
37,Group Call,SIMPLEX,,,,99,
18,Group Call,UA ENG1,,,,113,
44,Group Call,UA-All1,,,,119,
19,Group Call,UA-ENG2,,,,123,
45,Group Call,UA-All2,,,,129,
7,Group Call,TAC310,,,,310,
8,Group Call,TAC311,,,,311,
9,Group Call,TAC312,,,,312,
10,Group Call,TAC313,,,,313,
11,Group Call,TAC314,,,,314,
12,Group Call,TAC315,,,,315,
13,Group Call,TAC316,,,,316,
14,Group Call,TAC317,,,,317,
15,Group Call,TAC318,,,,318,
16,Group Call,TAC319,,,,319,
38,Group Call,USA,,,,1776,
35,Group Call,BRIDGE,,,,3100,
56,Group Call,AL ST,,,,3101,
49,Group Call,DE ST,,,,3110,
48,Group Call,DC St,,,,3111,
24,Group Call,FL-ST,,,,3112,
25,Group Call,GA-ST,,,,3113,
53,Group Call,IL ST,,,,3117,
51,Group Call,KY ST,,,,3121,
31,Group Call,MD-ST,,,,3124,
27,Group Call,MA-ST,,,,3125,
28,Group Call,MN-ST,,,,3127,
57,Group Call,MS ST,,,,3128,
58,Group Call,NJ ST,,,,3134,
59,Group Call,NY ST,,,,3136,
55,Group Call,NC ST,,,,3137,
26,Group Call,OH-ST,,,,3139,
52,Group Call,PA ST,,,,3142,
50,Group Call,SC ST,,,,3145,
29,Group Call,TN-ST,,,,3147,
54,Group Call,TX ST,,,,3148,
30,Group Call,VA-ST,,,,3151,
42,Group Call,AllStar,,,,3167,
20,Group Call,MW-REG,,,,3169,
21,Group Call,NE-REG,,,,3172,
22,Group Call,MIDATLREG,,,,3173,
23,Group Call,SE-REG,,,,3174,
46,Group Call,SoPlains,,,,3175,
39,Group Call,SW-REG,,,,3176,
47,Group Call,Mount Reg,,,,3177,
43,Group Call,Fusion,,,,3182,
40,Group Call,CACTUS,,,,3185,
41,Group Call,Hytera,,,,4639,
6,Group Call,TAC1,,,,8951,
36,Group Call,PARROT,,,,9998,
32,Group Call,1ST-CO,,,,31121,
60,Group Call,MetroAtl,,,,31131,
33,Group Call,COMM1,,,,3777215,
34,Group Call,COMM2,,,,3777216,
