No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
1,Group Call,MARC WW,,,,1,
2,Group Call,LOCAL 2,,,,2,
3,Group Call,MARC NAM,,,,3,
4,Group Call,MARC WW ENG,,,,13,
47,Group Call,CALL47,,,,47,
48,Group Call,CALL48,,,,48,
49,Group Call,CALL49,,,,49,
50,Group Call,CALL50,,,,50,
51,Group Call,CALL51,,,,51,
52,Group Call,CALL52,,,,52,
53,Group Call,CALL53,,,,53,
54,Group Call,CALL54,,,,54,
55,Group Call,CALL55,,,,55,
56,Group Call,CALL56,,,,56,
57,Group Call,CALL57,,,,57,
58,Group Call,CALL58,,,,58,
59,Group Call,CALL59,,,,59,
60,Group Call,CALL60,,,,60,
61,Group Call,CALL61,,,,61,
62,Group Call,CALL62,,,,62,
63,Group Call,CALL63,,,,63,
5,Group Call,BM WW,,,,91,
6,Group Call,BM NAM,,,,93,
45,Group Call,SIMPLEX,,,,99,
23,Group Call,CANADA,,,,302,
8,Group Call,TAC-310,,,,310,
9,Group Call,TAC-311,,,,311,
10,Group Call,TAC-312,,,,312,
11,Group Call,TAC-313,,,,313,
12,Group Call,TAC-314,,,,314,
13,Group Call,TAC-315,,,,315,
14,Group Call,TAC-316,,,,316,
15,Group Call,TAC-317,,,,317,
16,Group Call,TAC-318,,,,318,
17,Group Call,TAC-319,,,,319,
18,Group Call,440 JAPAN,,,,440,
19,Group Call,505 AUST,,,,505,
7,Group Call,BM WW ENG,,,,913,
20,Group Call,EUROPE,,,,2350,
21,Group Call,IRELAND,,,,2354,
22,Group Call,SCOTTLAND,,,,2355,
24,Group Call,CA ENG,,,,3026,
25,Group Call,USA 3100,,,,3100,
26,Group Call,ALABAMA,,,,3101,
27,Group Call,ALASKA,,,,3102,
28,Group Call,ARIZONA,,,,3104,
29,Group Call,CALIFORNIA,,,,3106,
36,Group Call,COLORADO,,,,3108,
38,Group Call,NEVADA,,,,3132,
42,Group Call,NEW MEXICO,,,,3135,
43,Group Call,TEXAS,,,,3148,
37,Group Call,UTAH,,,,3149,
40,Group Call,SW USA,,,,3176,
41,Group Call,CACTUS,,,,3185,
44,Group Call,EMCOM,,,,9911,
30,Group Call,MTN WEST,,,,31062,
31,Group Call,SO CAL,,,,31066,
32,Group Call,NO CAL,,,,31068,
33,Group Call,VENTURA,,,,31070,
35,Group Call,TAHOE ARC,,,,31072,
34,Group Call,PAPA D*,,,,31078,
39,Group Call,VEGAS HYT,,,,31089,
46,Group Call,SNARS,,,,31328,
