No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
1,Group Call,WW,,,,1,
2,Group Call,BM WW,,,,91,
3,Group Call,BM WW DE,,,,910,
4,Group Call,BM EU,,,,92,
5,Group Call,EMCOM EU,,,,9112,
6,Group Call,BM DACH,,,,920,
7,Group Call,DL,,,,262,
8,Group Call,OE,,,,232,
9,Group Call,CH,,,,228,
10,Group Call,TAC 1,,,,26200,
11,Group Call,TAC 2,,,,26299,
12,Group Call,TAC 3,,,,26233,
13,Group Call,TAC 4,,,,26266,
14,Group Call,US,,,,3100,
15,Group Call,US 1,,,,31091,
16,Group Call,US 2,,,,31092,
17,Group Call,US 3,,,,31093,
18,Group Call,US 4,,,,31094,
19,Group Call,US 5,,,,31095,
20,Group Call,US 6,,,,31096,
21,Group Call,US 7,,,,31097,
22,Group Call,US 8,,,,31098,
23,Group Call,US 9,,,,31099,
24,Group Call,US 0,,,,31090,
25,Group Call,US NY,,,,3136,
26,Group Call,US NJ,,,,3134,
27,Group Call,US WA,,,,3153,
28,Group Call,US CA,,,,3106,
29,Group Call,US TX,,,,3148,
30,Group Call,lokal,,,,9,
31,Group Call,Regio,,,,8,
32,Group Call,SA/MV,,,,2620,
33,Group Call,B/Brb,,,,2621,
34,Group Call,HH/SH,,,,2622,
35,Group Call,HB/Ni,,,,2623,
36,Group Call,NRW,,,,2624,
37,Group Call,RhPf,,,,2625,
38,Group Call,Hess,,,,2626,
39,Group Call,BW,,,,2627,
40,Group Call,Bay,,,,2628,
41,Group Call,Sa/Th,,,,2629,
42,Group Call,HH-City,,,,26221,
43,Group Call,GrHH,,,,26220,
44,Group Call,AfuNord,,,,26225,
45,Group Call,DACH,,,,20,
46,Group Call,ALL CALL, ,,,16777215,
47,Group Call,NiNord,,,,26236,
48,Private Call,BM GPS,,,,262999,
