No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
33,Group Call,TG 9 - LOCAL,,,,9,
7,Group Call,WW 91,,,,91,
8,Group Call,N/A 93,,,,93,
11,Group Call,LOCAL,,,,99,
1,Group Call,TAC 310,,,,310,
23,Group Call,TAC 311,,,,311,
24,Group Call,TAC 312,,,,312,
25,Group Call,TAC 313,,,,313,
26,Group Call,TAC 314,,,,314,
27,Group Call,TAC 315,,,,315,
28,Group Call,TAC 316,,,,316,
29,Group Call,TAC 317,,,,317,
30,Group Call,TAC 318,,,,318,
32,Group Call,USA NAT WIDE,,,,3100,
34,Group Call,ALABAMA,,,,3101,
35,Group Call,ALASKA,,,,3102,
36,Group Call,ARIZONA,,,,3104,
37,Group Call,ARKANSAS,,,,3105,
38,Group Call,CALIFORNIA,,,,3106,
39,Group Call,COLORADO,,,,3108,
40,Group Call,CONN,,,,3109,
41,Group Call,DELAWARE,,,,3110,
3,Group Call,FLORIDA,,,,3112,
42,Group Call,GEORGIA,,,,3113,
43,Group Call,HAWAII,,,,3115,
44,Group Call,IDAHO,,,,3116,
45,Group Call,ILLINOIS,,,,3117,
46,Group Call,INDIANNA,,,,3118,
47,Group Call,IOWA,,,,3119,
48,Group Call,KANSAS,,,,3120,
49,Group Call,KENTUCKY,,,,3121,
50,Group Call,LOUISIANA,,,,3122,
51,Group Call,MAINE,,,,3123,
31,Group Call,MARYLAND,,,,3124,
52,Group Call,MASSUCHUS,,,,3125,
53,Group Call,MICHIGAN,,,,3126,
54,Group Call,MINNESOTA,,,,3127,
55,Group Call,MISSISSIPPI,,,,3128,
56,Group Call,MISSOURI,,,,3129,
57,Group Call,MONTANA,,,,3130,
58,Group Call,NEBRASKA,,,,3131,
59,Group Call,NEVADA,,,,3132,
60,Group Call,NEW HAMPSHIRE,,,,3133,
61,Group Call,NEW JERSEY,,,,3134,
62,Group Call,NEW MEXICO,,,,3135,
63,Group Call,NEW YORK,,,,3136,
64,Group Call,N CAROLINA,,,,3137,
65,Group Call,N DAKOTA,,,,3138,
66,Group Call,OHIO,,,,3139,
67,Group Call,OKLAHOMA,,,,3140,
68,Group Call,OREGON,,,,3141,
69,Group Call,PENN,,,,3142,
70,Group Call,RHODE ISLAND,,,,3144,
71,Group Call,S CAROLINA,,,,3145,
72,Group Call,S DAKOTA,,,,3146,
73,Group Call,TENN,,,,3147,
74,Group Call,TEXAS,,,,3148,
75,Group Call,UTAH,,,,3149,
76,Group Call,VERMONT,,,,3150,
77,Group Call,VIRGINIA,,,,3151,
78,Group Call,WASHINGTON,,,,3153,
80,Group Call,W VIRGINIA,,,,3154,
79,Group Call,WISCONSIN,,,,3155,
81,Group Call,WYOMING,,,,3156,
9,Group Call,Disconnect,,,,4000,
13,Group Call,STATUS,,,,5000,
14,Group Call,TAC 1,,,,8951,
15,Group Call,TAC 2,,,,8952,
16,Group Call,TAC 3,,,,8953,
17,Group Call,TAC 4,,,,8954,
18,Group Call,TAC 5,,,,8955,
19,Group Call,TAC 6,,,,8956,
20,Group Call,TAC 7,,,,8957,
21,Group Call,TAC 8,,,,8958,
22,Group Call,TAC 9,,,,8959,
93,Group Call,PARROT,,,,9990,
12,Group Call,ECHO,,,,9999,
82,Group Call,AREA 0,,,,31090,
83,Group Call,AREA 1,,,,31091,
84,Group Call,AREA 2,,,,31092,
85,Group Call,AREA 3,,,,31093,
86,Group Call,AREA 4,,,,31094,
87,Group Call,AREA 5,,,,31095,
88,Group Call,AREA 6,,,,31096,
89,Group Call,AREA 7,,,,31097,
90,Group Call,AREA 8,,,,31098,
91,Group Call,AREA 9,,,,31099,
4,Group Call,WC Florida,,,,31122,
5,Group Call,TC Florida,,,,31123,
6,Group Call,SE Florida,,,,31124,
10,Group Call,TGIF,,,,31665,
