No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
2,Group Call,TG 1,Local,,,1,
3,Group Call,TG 2,Local/Cluster,,,2,
4,Group Call,TG 8,Regional,,,8,
5,Group Call,TG 9,Local or Reflect,,,9,
6,Group Call,TG 91,World-wide,,,91,
7,Group Call,TG 92,Europe,,,92,
8,Group Call,TG 93,North America,,,93,
9,Group Call,TG 94,Asia Middle East,,,94,
10,Group Call,TG 95,Australia New Ze,,,95,
11,Group Call,TG 202,,,,202,
12,Group Call,TG 204,Nederland,,,204,
13,Group Call,TG 206,Belgium,,,206,
14,Group Call,TG 208,France 0,,,208,
15,Group Call,TG 214,Spain,,,214,
16,Group Call,TG 216,Hungary,,,216,
17,Group Call,TG 218,Bosnia and Herze,,,218,
18,Group Call,TG 219,Croatia,,,219,
19,Group Call,TG 220,Serbia,,,220,
20,Group Call,TG 222,Italia,,,222,
21,Group Call,TG 226,Romania,,,226,
22,Group Call,TG 228,Switzerland,,,228,
23,Group Call,TG 230,Czech Republic,,,230,
24,Group Call,TG 231,Slovak,,,231,
25,Group Call,TG 232,Austria,,,232,
26,Group Call,TG 235,United Kingdom,,,235,
27,Group Call,TG 238,Denmark,,,238,
28,Group Call,TG 240,Sweden,,,240,
29,Group Call,TG 242,Norway,,,242,
30,Group Call,TG 244,Finland,,,244,
31,Group Call,TG 246,Lithuania,,,246,
32,Group Call,TG 248,Estonia,,,248,
33,Group Call,TG 255,Ukraine,,,255,
34,Group Call,TG 259,Moldova,,,259,
35,Group Call,TG 260,Poland,,,260,
36,Group Call,TG 262,Deutschland,,,262,
37,Group Call,TG 263,MultiMode DL,,,263,
38,Group Call,TG 268,Portugal,,,268,
39,Group Call,TG 270,Luxembourg,,,270,
40,Group Call,TG 272,Ireland,,,272,
41,Group Call,TG 280,Cyprus,,,280,
42,Group Call,TG 284,Bulgaria,,,284,
43,Group Call,TG 286,Turkey,,,286,
44,Group Call,TG 292,San Marino,,,292,
45,Group Call,TG 297,Montenegro,,,297,
46,Group Call,TG 302,Canada,,,302,
47,Group Call,TG 310,TAC-310 USA DMRX,,,310,
48,Group Call,TG 311,TAC-311 USA DMRX,,,311,
49,Group Call,TG 312,TAC-312 USA DMRX,,,312,
50,Group Call,TG 313,TAC 313 USA,,,313,
51,Group Call,TG 314,TAC 314 USA,,,314,
52,Group Call,TG 315,TAC 315 USA,,,315,
53,Group Call,TG 316,TAC 316 USA,,,316,
54,Group Call,TG 317,TAC 317 USA,,,317,
55,Group Call,TG 318,TAC 318 USA,,,318,
56,Group Call,TG 319,TAC 319 USA,,,319,
57,Group Call,TG 330,Puerto Rico,,,330,
58,Group Call,TG 334,XE,,,334,
59,Group Call,TG 358,Saint Lucia,,,358,
60,Group Call,TG 370,Dominican Republ,,,370,
61,Group Call,TG 372,Haiti,,,372,
62,Group Call,TG 374,Trinidad / Tobag,,,374,
63,Group Call,TG 401,Kazahstan,,,401,
64,Group Call,TG 404,India,,,404,
65,Group Call,TG 415,Lebanon,,,415,
66,Group Call,TG 420,Saudi Arabia,,,420,
67,Group Call,TG 425,Israel,,,425,
68,Group Call,TG 426,Bahrein,,,426,
