No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
46,Group Call,Worldwide,,,,1,
47,Group Call,Local 2,,,,2,
48,Group Call,North America,,,,3,
49,Group Call,Local 8,,,,8,
50,Group Call,local 9,,,,9,
194,Group Call,German,,,,10,
51,Group Call,Worldwide-E,,,,13,
195,Group Call,Spanish,,,,14,
196,Group Call,NORDIC,,,,17,
52,Group Call,N. America 30,,,,30,
197,Group Call,German,,,,110,
188,Group Call,LCL UA 113,,,,113,
198,Group Call,Spanish,,,,114,
199,Group Call,NORDIC,,,,117,
200,Group Call,All Lang,,,,119,
201,Group Call,German,,,,120,
136,Group Call,TAC-Eng,,,,123,
202,Group Call,Spanish,,,,124,
203,Group Call,NORDIC,,,,127,
204,Group Call,All Lang,,,,129,
137,Group Call,Canada,,,,302,
126,Group Call,TAC-310,,,,310,
127,Group Call,TAC-311,,,,311,
128,Group Call,TAC-312,,,,312,
129,Group Call,TAC=313,,,,313,
130,Group Call,TAC-314,,,,314,
131,Group Call,TAC-315,,,,315,
132,Group Call,TAC-316,,,,316,
133,Group Call,TAC-317,,,,317,
134,Group Call,TAC-318,,,,318,
135,Group Call,TAC-319,,,,319,
185,Group Call,LCL 955,,,,955,
192,Group Call,LCL 1604,,,,1604,
205,Group Call,USA,,,,1776,
61,Group Call,DCI Brdg Nation,,,,3100,
72,Group Call,Alabama StWd,,,,3101,
73,Group Call,Alaska StWd,,,,3102,
74,Group Call,Arizona StWd,,,,3104,
75,Group Call,Arkansas StWd,,,,3105,
76,Group Call,California StWd,,,,3106,
77,Group Call,Colorado StWd,,,,3108,
78,Group Call,Connecticut StWd,,,,3109,
79,Group Call,Delaware StWd,,,,3110,
81,Group Call,D.C. StWd,,,,3111,
80,Group Call,Florida StWd,,,,3112,
82,Group Call,Georgia StWd,,,,3113,
83,Group Call,Hawaii StWd,,,,3115,
84,Group Call,Idaho StWd,,,,3116,
85,Group Call,Illinois StWd,,,,3117,
86,Group Call,Indiana StWd,,,,3118,
87,Group Call,Iowa StWd,,,,3119,
88,Group Call,Kansas StWd,,,,3120,
89,Group Call,Kentucky StWd,,,,3121,
90,Group Call,Louisiana StWd,,,,3122,
91,Group Call,Maine StWd,,,,3123,
92,Group Call,Maryland StWd,,,,3124,
93,Group Call,Mass StWd,,,,3125,
94,Group Call,Michigan StWd,,,,3126,
95,Group Call,Minnesota StWd,,,,3127,
96,Group Call,Mississippi StWd,,,,3128,
97,Group Call,Missouri StWd,,,,3129,
98,Group Call,Montana StWd,,,,3130,
99,Group Call,Nebraska StWd,,,,3131,
100,Group Call,Nevada StWd,,,,3132,
101,Group Call,New Hampshr StWd,,,,3133,
102,Group Call,New Jersey StWd,,,,3134,
103,Group Call,New Mexico StWd,,,,3135,
104,Group Call,New York StWd,,,,3136,
105,Group Call,N Carolina StWd,,,,3137,
