No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
10,Group Call,DMR+,,,,8,
11,Group Call,BM-Ref,,,,9,
14,Group Call,World Wide,,,Worldwide,91,
13,Group Call,N.America,,,N.America,93,
1,Group Call,Canada,,,Canada,302,
6,Group Call,Tac-310,,,Tactical 310,310,
7,Group Call,Tac-311,,,Tactical 311,311,
8,Group Call,Australia,,,Australia,505,
16,Group Call,NL-PEI,,,,3020,
3,Group Call,Ontario,,Ontario,Canada,3023,
2,Group Call,Canada-English,,,Canada,3026,
5,Group Call,U.S.A,,,USA,3100,
4,Group Call,Texas,,Texas,USA,3148,
15,Group Call,DICONNECT,,,,4000,
17,Group Call,TAC320,,,,30220,
18,Group Call,TAC321,,,,30221,
19,Group Call,Can-Truck,,,,30260,
20,Group Call,Can-Police,,,,30270,
9,Group Call,Newfoundland,St. John's,Newfoundland,Canada,302002,
12,Group Call,APRS,,,,302999,
