No.,Call Type,Contacts Alias,City,Province,Country,Call ID,
8,Group Call,WW 1,,,,1,
4,Group Call,Metro,,Texas,USA,2,
9,Group Call,NA 3,,,USA,3,
126,Group Call,Oceania,,,,5,
124,Group Call,Atl-Metro,Atlanta,Georgia,USA,8,
1,Group Call,Local 9,,,,9,
2,Group Call,Tarrant Cty Metr,,Texas,USA,10,
127,Group Call,WW French,,,,11,
10,Group Call,WW English,,,,13,
128,Group Call,WW Spanish,,,,14,
151,Group Call,NORDIC 17,,,,17,
152,Group Call,NA 30,,,USA,30,
82,Group Call,WW 91,,,,91,
145,Group Call,Europe,,,,92,
83,Group Call,NA 93,,,USA,93,
84,Group Call,Local 99,,,,99,
153,Group Call,German 110,,,,110,
18,Group Call,UA English,,,United Emirates,113,
154,Group Call,NORDIC 117,,,,117,
137,Group Call,UA-All1,,,,119,
155,Group Call,German 120,,,,120,
32,Group Call,UA English 2,,,,123,
156,Group Call,Spanish 124,,,,124,
157,Group Call,NORDIC 127,,,,127,
138,Group Call,UA-All2,,,,129,
158,Group Call,Canada 302,,,Canada,302,
11,Group Call,TAC310,,,,310,
34,Group Call,TAC311,,,,311,
43,Group Call,TAC312,,,,312,
72,Group Call,TAC 313,,,,313,
73,Group Call,TAC 314,,,,314,
74,Group Call,TAC 315,,,,315,
75,Group Call,TAC 316,,,,316,
76,Group Call,TAC 317,,,,317,
77,Group Call,TAC 318,,,,318,
78,Group Call,TAC 319,,,,319,
42,Group Call,BronxTRBO (NY),,NY,USA,444,
146,Group Call,German,,,,910,
147,Group Call,YOTA,,,,918,
148,Group Call,Europe English,,,,923,
33,Group Call,USA,,,USA,1776,
12,Group Call,DCI Bridge,,,USA,3100,
61,Group Call,AL 3101,,Alabama,USA,3101,
87,Group Call,AK 3102,,Alaska,USA,3102,
88,Group Call,AZ 3104,,Arizona,USA,3104,
57,Group Call,AR 3105,,Arkansas,USA,3105,
19,Group Call,CA 3106,,California,USA,3106,
89,Group Call,CO 3108,,Colorado,USA,3108,
90,Group Call,CT 3109,,Connecticut,USA,3109,
91,Group Call,DE 3110,,Deleware,USA,3110,
129,Group Call,DC 3111,,DC,USA,3111,
45,Group Call,FL 3112,,Florida,USA,3112,
62,Group Call,GA 3113,,Georgia,USA,3113,
92,Group Call,HI 3115,,Hawaii,USA,3115,
93,Group Call,ID 3116,,Idaho,USA,3116,
20,Group Call,IL 3117,,Illinois,USA,3117,
94,Group Call,IN 3118,,Indiana,USA,3118,
95,Group Call,IA 3119,,Iowa,USA,3119,
96,Group Call,KS 3120,,Kansas,USA,3120,
63,Group Call,KY 3121,,Kentucky,USA,3121,
58,Group Call,LA 3122,,Louisiana,USA,3122,
97,Group Call,ME 3123,,Maine,USA,3123,
86,Group Call,MD 3124,,Maryland,USA,3124,
21,Group Call,MA 3125,,Massachusetts,USA,3125,
22,Group Call,MI 3126,,Michigan,USA,3126,
23,Group Call,MN 3127,,Minnesota,USA,3127,
60,Group Call,MS 3128,,MIssissippi,USA,3128,
98,Group Call,MO 3129,,Missouri,USA,3129,
99,Group Call,MT 3130,,Montana,USA,3130,
100,Group Call,NE 3131,,Nebraska,USA,3131,
101,Group Call,NV 3132,,Nevada,USA,3132,
102,Group Call,NH 3133,,New Hampshire,USA,3133,
103,Group Call,NJ 3134,,New Jersey,USA,3134,
104,Group Call,NM 3135,,New Mexico,USA,3135,
105,Group Call,NY 3136,,New York,USA,3136,
106,Group Call,NC 3137,,North Carolina,USA,3137,
107,Group Call,ND 3138,,North Dakota,USA,3138,
24,Group Call,OH 3139,,Ohio,USA,3139,
108,Group Call,OK 3140,,Oklahoma,USA,3140,
109,Group Call,OR 3141,,Oregon,USA,3141,
110,Group Call,PA 3142,,Pennsylvania,USA,3142,
111,Group Call,RI 3144,,Rhode Island,USA,3144,
112,Group Call,SC 3145,,South Carolina,USA,3145,
113,Group Call,SD 3146,,South Dakota,USA,3146,
25,Group Call,TN 3147,,Tennessee,USA,3147,
3,Group Call,TX 3148,,Texas,USA,3148,
114,Group Call,UT 3149,,Utah,USA,3149,
115,Group Call,VT 3150,,Vermont,USA,3150,
116,Group Call,VA 3151,,Virginia,USA,3151,
27,Group Call,WA 3153,,Washington,USA,3153,
117,Group Call,WV 3154,,West Virginia,USA,3154,
28,Group Call,WI 3155,,Wisconsin,USA,3155,
118,Group Call,Wy 3156,,Wyoming,USA,3156,
15,Group Call,Chicago 2,Chicago,Illinois,USA,3166,
29,Group Call,Allstar Link,,,,3167,
30,Group Call,Midwest Regional,,,,3169,
38,Group Call,Northeast Region,,,,3172,
122,Group Call,MidAtlantic,,,,3173,
13,Group Call,Southeast Region,,,,3174,
6,Group Call,Southern Plains,,,,3175,
39,Group Call,Southwest Region,,,,3176,
40,Group Call,Mountain Regiion,,,,3177,
16,Group Call,Chicago 1,Chicago,Illinois,USA,3181,
125,Group Call,Fusion,,,,3182,
7,Group Call,Cactus,,,,3185,
52,Group Call,Disconnect,,,,4000,
139,Group Call,Hytera,,,,4639,
123,Group Call,RedCross,,,,4742,
85,Group Call,Status,,,,5000,
35,Group Call,TAC1,,,,8951,
64,Group Call,TAC 2,,,,8952,
65,Group Call,TAC 3,,,,8953,
66,Group Call,TAC 4,,,,8954,
67,Group Call,TAC 5,,,,8955,
68,Group Call,TAC 6,,,,8956,
69,Group Call,TAC 7,,,,8957,
70,Group Call,TAC 8,,,,8958,
71,Group Call,TAC 9,,,,8959,
5,Group Call,BMTG 3148 Link,,,,9000,
149,Group Call,WW Maritime,,,,9101,
36,Group Call,Parrot,,,,9998,
37,Group Call,Audio Test,,,,9999,
142,Group Call,TAC 320,,,,30220,
143,Group Call,TAC 321,,,,30221,
130,Group Call,MtnWest,,,,31063,
131,Group Call,NCalAllStar,,California,USA,31065,
132,Group Call,SoCal 31066,,California,USA,31066,
133,Group Call,SoCal 31067,,California,USA,31067,
134,Group Call,NorCal 31068,,California,USA,31068,
79,Group Call,WC Florida,,Florida,USA,31122,
80,Group Call,TC Florida,,Florida,USA,31123,
81,Group Call,SE Florida,,Florida,USA,31124,
140,Group Call,MetroATL,Atlanta,Georgia,USA,31131,
135,Group Call,Hawaii 31150,,Hawaii,USA,31150,
56,Group Call,ArkLaTex,,,,31229,
136,Group Call,OKTAC 31400,,Oklahoma,USA,31400,
119,Group Call,OKCent 401,,Oklahoma,USA,31401,
120,Group Call,OKEast 402,,Oklahoma,USA,31402,
121,Group Call,OK 31403,,Oklahoma,USA,31403,
54,Group Call,BM North Texas,,Texas,USA,31481,
55,Group Call,BM South Texas,,Texas,USA,31482,
26,Group Call,Texas Nexus,,Texas,USA,31488,
53,Group Call,BM Facebook,,,,31648,
141,Group Call,TGIF,,,,31665,
41,Group Call,EchoLnk/IRLP Lnk,,,,63951,
144,Group Call,APRS,,,,302999,
59,Group Call,LA  ARES,,,,312222,
150,Group Call,Maritime Disaste,,,,3021911,
51,Private Call,Andrew Deithloff,,Texas,USA,3103330,
49,Private Call,Steve Grantham,,Mississippi,USA,3128027,
50,Private Call,Mary Grantham,,Mississippi,USA,3128103,
46,Private Call,Alan Schiller,,Texas,USA,3148088,
47,Private Call,Wayne Wilson,,Wisconsin,USA,3148195,
14,Private Call,Jory McIntosh,,Texas,USA,3148288,
48,Private Call,Hugh Underwood,,Texas,USA,3148564,
17,Group Call,TRB06 Comm1,,,,3777215,
31,Group Call,TRB06 Comm2,,,,3777216,
44,Group Call,test,,,,16777215,
